true_label,predicted_label,confidence,action,expected_action,response_time_ms
benign,benign,0.7797580292528786,allow,allow,14.988856000854867
benign,benign,0.8483781098172325,allow,allow,14.711634999912349
benign,benign,0.9180540622797895,allow,allow,24.31960299873026
suspicious,suspicious,0.9324641148325358,rate-limit,rate-limit,24.66539799934253
suspicious,suspicious,0.6065124039483282,redirect,rate-limit,24.81675799936056
attack,attack,0.98,block,block,24.540458000046783
attack,attack,0.9101398601398601,block,block,15.569098000923987
attack,attack,0.98,block,block,35.83717499896011
suspicious,suspicious,1.0,rate-limit,redirect,24.436748999505653
suspicious,suspicious,1.0,rate-limit,redirect,26.571757000056095
suspicious,suspicious,0.99,rate-limit,redirect,24.405172998740454
suspicious,suspicious,1.0,rate-limit,redirect,13.700317998882383
benign,benign,0.8879940307262796,allow,allow,12.957701999766869
benign,benign,0.9753379958189099,allow,allow,23.971668000740465
benign,benign,0.9875872984551224,allow,allow,24.102724999465863
suspicious,suspicious,0.85,rate-limit,rate-limit,13.15515799979039
suspicious,suspicious,0.8290277183762985,rate-limit,rate-limit,14.129258999673766
attack,attack,1.0,block,block,23.372421001113253
attack,attack,1.0,block,block,24.758969000686193
attack,attack,0.97,block,block,12.9615339992597
suspicious,suspicious,1.0,rate-limit,redirect,14.023130001078243
suspicious,suspicious,1.0,rate-limit,redirect,13.379811000049813
suspicious,suspicious,1.0,rate-limit,redirect,13.771215999440756
suspicious,suspicious,1.0,rate-limit,redirect,15.906145999906585
benign,benign,0.9001534659664611,allow,allow,26.987578999978723
benign,benign,0.9790936372451202,allow,allow,13.480951000019559
benign,benign,0.7791601547526926,allow,allow,24.429188000794966
suspicious,suspicious,0.6626929701970501,redirect,rate-limit,13.171237998903962
suspicious,suspicious,0.8917272093115771,rate-limit,rate-limit,25.462878000325873
attack,attack,0.9,block,block,23.577502000989625
attack,attack,0.99,block,block,23.842571001296164
attack,attack,1.0,block,block,23.80999500019243
suspicious,suspicious,1.0,rate-limit,redirect,13.28905999980634
suspicious,suspicious,1.0,rate-limit,redirect,14.502325999274035
suspicious,suspicious,1.0,rate-limit,redirect,13.789737000479363
suspicious,suspicious,1.0,rate-limit,redirect,13.833764000082738
benign,benign,0.9085310216613243,allow,allow,23.82799299994076
benign,benign,0.9890215314110163,allow,allow,13.519348000045284
benign,benign,0.5453426398294622,allow,allow,24.960366999948747
suspicious,suspicious,0.89,rate-limit,rate-limit,14.051142999960575
suspicious,suspicious,0.97,rate-limit,rate-limit,23.87758100121573
attack,attack,1.0,block,block,13.569789000030141
attack,attack,1.0,block,block,14.09605800108693
attack,attack,1.0,block,block,24.942053998529445
suspicious,suspicious,1.0,rate-limit,redirect,24.06323099967267
suspicious,suspicious,1.0,rate-limit,redirect,15.337962999183219
suspicious,suspicious,1.0,rate-limit,redirect,23.819763000574312
suspicious,suspicious,1.0,rate-limit,redirect,13.712465999560663
benign,benign,0.988814251251499,allow,allow,13.030102998527582
benign,benign,0.988211368052788,allow,allow,13.042266000411473
benign,benign,0.962076723813978,allow,allow,13.102419999995618
suspicious,benign,0.6364134031816628,allow,rate-limit,13.150979999409174
suspicious,suspicious,0.91,rate-limit,rate-limit,24.279607998323627
attack,attack,1.0,block,block,12.859001000833814
attack,attack,0.98,block,block,23.545977999674506
attack,attack,0.98,block,block,24.197491999075282
suspicious,suspicious,1.0,rate-limit,redirect,13.802125000438537
suspicious,suspicious,1.0,rate-limit,redirect,13.255916999696638
suspicious,suspicious,1.0,rate-limit,redirect,14.321886999823619
suspicious,suspicious,1.0,rate-limit,redirect,13.283749998663552
benign,suspicious,0.6012276870562264,redirect,allow,36.730240999531816
benign,benign,0.8163690377814397,allow,allow,26.943342001686688
benign,benign,0.9617683748115798,allow,allow,26.269438998497208
suspicious,suspicious,0.6391608391608391,redirect,rate-limit,26.567935001367005
suspicious,suspicious,0.8734465534465535,rate-limit,rate-limit,15.20879500094452
attack,attack,0.98,block,block,24.55369300150778
attack,attack,0.95,block,block,24.8827010000241
attack,attack,1.0,block,block,13.224148000517744
suspicious,suspicious,1.0,rate-limit,redirect,24.710551999305608
suspicious,suspicious,1.0,rate-limit,redirect,24.417906999588013
suspicious,suspicious,1.0,rate-limit,redirect,25.108711999564548
suspicious,suspicious,0.99,rate-limit,redirect,24.05292099865619
benign,benign,0.9387008002743107,allow,allow,23.80408800127043
benign,benign,0.9660155864507881,allow,allow,24.62363999984518
benign,benign,0.9704401426370091,allow,allow,23.261301999809803
suspicious,suspicious,0.8357282799169518,rate-limit,rate-limit,26.60713899967959
suspicious,suspicious,0.9023980516625929,rate-limit,rate-limit,12.88666300024488
attack,attack,0.97,block,block,24.055456000496633
attack,attack,1.0,block,block,13.233305000539985
attack,attack,1.0,block,block,24.076484998658998
suspicious,suspicious,1.0,rate-limit,redirect,13.055379999059369
suspicious,suspicious,1.0,rate-limit,redirect,13.838042999850586
suspicious,suspicious,1.0,rate-limit,redirect,13.210421000621864
suspicious,suspicious,1.0,rate-limit,redirect,25.693391000459087
benign,benign,0.9101340410495713,allow,allow,13.350616000025184
benign,benign,0.9437954585632208,allow,allow,13.238976000138791
benign,benign,0.9384618071501396,allow,allow,24.347984999621985
suspicious,suspicious,0.9499692307692307,rate-limit,rate-limit,13.804819998767925
suspicious,suspicious,0.8997368421052632,rate-limit,rate-limit,14.239046000511735
attack,attack,0.99,block,block,14.384854999661911
attack,attack,1.0,block,block,25.159967999570654
attack,attack,1.0,block,block,14.525705000778544
suspicious,suspicious,1.0,rate-limit,redirect,25.683722000394482
suspicious,suspicious,1.0,rate-limit,redirect,34.03137500026787
suspicious,suspicious,1.0,rate-limit,redirect,24.549595000280533
suspicious,suspicious,1.0,rate-limit,redirect,14.415678000659682
benign,benign,0.8051028823941815,allow,allow,24.323681000169017
benign,benign,0.9828203771811893,allow,allow,13.025603999267332
benign,benign,0.9873669665725605,allow,allow,13.779852999505238
suspicious,suspicious,0.8841025641025639,rate-limit,rate-limit,34.730299999864656
suspicious,suspicious,0.957514619883041,rate-limit,rate-limit,13.885641999877407
attack,attack,1.0,block,block,23.602104000019608
attack,attack,0.98,block,block,24.348656999791274
attack,attack,0.98,block,block,24.13833200080262
suspicious,suspicious,1.0,rate-limit,redirect,24.864287001037155
suspicious,suspicious,1.0,rate-limit,redirect,25.167965000946424
suspicious,suspicious,1.0,rate-limit,redirect,36.186351000651484
suspicious,suspicious,1.0,rate-limit,redirect,26.08438100105559
benign,benign,0.9184662599899195,allow,allow,24.99721700041846
benign,benign,0.9365553164028144,allow,allow,24.331275000804453
benign,benign,0.8776743638854159,allow,allow,13.209299999289215
suspicious,suspicious,0.9314808362369338,rate-limit,rate-limit,13.677185001142789
suspicious,suspicious,0.7465906932573599,redirect,rate-limit,14.011383000251953
attack,attack,1.0,block,block,24.19030499913788
attack,attack,0.91,block,block,24.286902000312693
attack,attack,0.99,block,block,14.577011001165374
suspicious,suspicious,1.0,rate-limit,redirect,24.834850999468472
suspicious,suspicious,0.99,rate-limit,redirect,13.887305000025663
suspicious,suspicious,1.0,rate-limit,redirect,23.885866999989958
suspicious,suspicious,1.0,rate-limit,redirect,23.470676000215462
benign,benign,0.7944856048993983,allow,allow,13.101216998620657
benign,benign,0.9159145406787753,allow,allow,13.430450000669225
benign,benign,0.92033113748481,allow,allow,24.259304998849984
suspicious,suspicious,0.9424979574830394,rate-limit,rate-limit,14.551628999470267
suspicious,suspicious,0.9108936170212766,rate-limit,rate-limit,14.428983000470907
attack,attack,1.0,block,block,26.859666000746074
attack,attack,0.99,block,block,26.074674000483355
attack,attack,1.0,block,block,13.917822001531022
suspicious,suspicious,1.0,rate-limit,redirect,14.368709998962004
suspicious,suspicious,1.0,rate-limit,redirect,15.382861998659791
suspicious,suspicious,1.0,rate-limit,redirect,35.06726399973559
suspicious,suspicious,1.0,rate-limit,redirect,25.776862999919103
benign,benign,0.9620028005144138,allow,allow,13.928036998549942
benign,benign,0.9039847388932791,allow,allow,14.258703999075806
benign,benign,0.95823268157078,allow,allow,14.725265000379295
suspicious,suspicious,0.8522172452407615,rate-limit,rate-limit,13.809099000354763
suspicious,suspicious,0.742,redirect,rate-limit,25.306918998467154
attack,attack,0.98,block,block,13.515926000764011
attack,attack,1.0,block,block,13.198268999985885
attack,attack,0.99,block,block,13.091999000607757
suspicious,suspicious,0.99,rate-limit,redirect,13.169294001272647
suspicious,suspicious,0.99,rate-limit,redirect,24.394633999690996
suspicious,suspicious,1.0,rate-limit,redirect,25.320405000456958
suspicious,suspicious,1.0,rate-limit,redirect,25.032183000803343
benign,benign,0.9172396607912117,allow,allow,23.66594900013297
benign,benign,0.8578816577441466,allow,allow,25.37179200044193
benign,benign,0.9989316026577675,allow,allow,13.86911100053112
suspicious,suspicious,0.9702978723404254,rate-limit,rate-limit,24.649482998938765
suspicious,suspicious,0.9997368421052631,rate-limit,rate-limit,14.131134001218015
attack,attack,0.93,block,block,13.516858000002685
attack,attack,0.99,block,block,24.364241000512266
attack,attack,1.0,block,block,24.6210390014312
suspicious,suspicious,1.0,rate-limit,redirect,23.83847899909597
suspicious,suspicious,1.0,rate-limit,redirect,17.341299999316107
suspicious,suspicious,1.0,rate-limit,redirect,13.861966999684228
suspicious,suspicious,1.0,rate-limit,redirect,13.709200000448618
benign,benign,0.7213924278966608,allow,allow,24.637305999931414
benign,benign,0.9183857097285465,allow,allow,13.170356000046013
benign,benign,0.9746480210693729,allow,allow,23.32709700021951
suspicious,suspicious,0.7570209019467178,rate-limit,rate-limit,22.990993998973863
suspicious,benign,0.7143166879057012,allow,rate-limit,13.417812000625418
attack,attack,1.0,block,block,13.586308999947505
attack,attack,1.0,block,block,13.580768998508574
attack,attack,1.0,block,block,14.297657000497566
suspicious,suspicious,1.0,rate-limit,redirect,25.060727000891347
suspicious,suspicious,1.0,rate-limit,redirect,25.236833000235492
suspicious,suspicious,1.0,rate-limit,redirect,26.12502299962216
suspicious,suspicious,1.0,rate-limit,redirect,24.684538999281358
benign,benign,0.8379275751364698,allow,allow,14.089394999245997
benign,benign,0.9874538521561095,allow,allow,13.286375000461703
benign,benign,0.7676519036518852,allow,allow,13.109121999150375
suspicious,suspicious,0.99,rate-limit,rate-limit,13.977153999803704
suspicious,suspicious,0.9023491543917075,rate-limit,rate-limit,12.96505100071954
attack,attack,1.0,block,block,24.032322000493878
attack,attack,1.0,block,block,12.988263999432093
attack,attack,1.0,block,block,23.585332000948256
suspicious,suspicious,1.0,rate-limit,redirect,24.450828999761143
suspicious,suspicious,1.0,rate-limit,redirect,13.183967999793822
suspicious,suspicious,1.0,rate-limit,redirect,13.416285000857897
suspicious,suspicious,1.0,rate-limit,redirect,24.22573700096109
benign,benign,0.959424742998107,allow,allow,24.277817999973195
benign,benign,0.9157689016360254,allow,allow,13.831675998517312
